sr,isin,is_equity,nse_symbol,bse_code,bse_ticker,company_name,listed_on,segment,nse_series,bse_group,bse_status
4365,INE0SMA01017,Y,SLONE,,,Slone Infosystems Limited,NSE only,NSE SME (Emerge),ST,,
4366,INE456D01010,Y,,521161,SLSTLQ,Sri Lakshmi Saraswathi Textiles (Ar,BSE only,BSE Equity,,X,Active
4367,INE0PSJ01011,Y,,544056,SMARITIME,Sahara Maritime Limited,BSE only,BSE Equity,,M,Active
4368,INE14GK01016,Y,SMARTEN,,,Smarten Power Systems Limited,NSE only,NSE SME (Emerge),ST,,
4369,INE766D01020,Y,,539494,SMARTFIN,Smart Finsec Limited,BSE only,BSE Equity,,X,Active
4370,INE178C01020,Y,SMARTLINK,532419,SMARTLINK,Smartlink Holdings Limited,NSE+BSE,NSE Mainboard,BE,T,Active
4371,INE0NAZ01010,Y,SMARTWORKS,544447,SMARTWORKS,Smartworks Coworking Spaces Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4372,INE0C4I01011,Y,,543065,SMAUTO,SM Auto Stamping Limited,BSE only,BSE Equity,,M,Active
4373,INE103C01036,Y,SMCGLOBAL,543263,SMCGLOBAL,SMC Global Securities Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4374,INE440E01012,Y,,532138,SMCREDT,SMC Credits ltd.,BSE only,BSE Equity,,XT,Active
4375,INE266S01011,Y,,541799,SMEL,Sungold Media and Entertainment Limited,BSE only,BSE Equity,,MT,Active
4376,INE728B01032,Y,,513418,SMFIL,Smiths & Founders (India) Limited,BSE only,BSE Equity,,XT,Active
4377,INE00Q901014,Y,,542034,SMGOLD,S. M. Gold Limited,BSE only,BSE Equity,,B,Active
4378,INE294B01019,Y,SMLMAH,505192,SMLMAH,SML Mahindra Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4379,INE017W01010,Y,SMLT,540393,SMLT,Sarthak Metals Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
